report_date,year,quarter,mdrm_code,account_name,statement_type,category,value
2023-12-31,2023,4,BHCK4302,Applicable income taxes,income_statement,income,500000.0
2023-12-31,2023,4,BHCK4301,Income before income taxes and extraordinary items,income_statement,income,2000000.0
2023-12-31,2023,4,BHCK4340,Net income attributable to holding company,income_statement,income,1500000.0
2023-12-31,2023,4,BHCK4073,Total interest expense,income_statement,interest_expense,1500000.0
2023-12-31,2023,4,BHCK4010,Total interest income,income_statement,interest_income,5000000.0
2023-12-31,2023,4,BHCK4074,Net interest income,income_statement,net_interest_income,3500000.0
2023-12-31,2023,4,BHCK4135,Salaries and employee benefits,income_statement,noninterest_expense,1800000.0
2023-12-31,2023,4,BHCK4093,Total noninterest expense,income_statement,noninterest_expense,3000000.0
2023-12-31,2023,4,BHCK4079,Total noninterest income,income_statement,noninterest_income,2000000.0
2023-12-31,2023,4,BHCK4230,Provision for loan and lease losses,income_statement,provision,500000.0
